"","KommuneNavn","Salgsaar","Areal_Bolig","Salgstid","Pris_Salg","Areal_Grund","StorGrund","Dist_skole","Dist_raadhus","Alder","AntalFremvisninger","Areal_GarageCarport","Ejd_AntalPlan"
"62","Assens",2012,132.711111111111,294.244444444444,1020555.55555556,4043.73333333333,0.333333333333333,1.73427925060278,13.1588326283033,40.4888888888889,5.71111111111111,24.6,1.02222222222222
"63","Assens",2013,133.959183673469,356.591836734694,918082.172653061,5466.55102040816,0.306122448979592,2.47687533819807,12.4151769034798,51.6734693877551,5.85714285714286,16.1632653061224,0.918367346938776
"64","Assens",2014,136.788732394366,381.281690140845,980345.070422535,4199.49295774648,0.295774647887324,1.76428820025342,10.4744925545492,40.0140845070423,6,21.1408450704225,0.943661971830986
"65","Assens",2015,139.141025641026,460.423076923077,1077025.64102564,2734.41025641026,0.269230769230769,1.75978789104641,11.126630897392,42.6282051282051,7.29487179487179,27.1538461538462,1.03846153846154
"66","Assens",2016,139.148148148148,467.703703703704,1102438.27160494,4515.32098765432,0.296296296296296,2.13804095961673,11.1600836051116,45.0864197530864,7.7037037037037,19.1851851851852,0.987654320987654
"67","Assens",2017,140.313953488372,367.732558139535,1221761.62790698,3297.43023255814,0.255813953488372,1.92512068110855,11.1670001284791,40.5116279069767,6.30232558139535,23.593023255814,1.02325581395349
"68","Assens",2018,141.489130434783,338.978260869565,1176652.17391304,4099.71739130435,0.304347826086957,1.89697746298945,11.8196846178763,45.5434782608696,6.53260869565217,26.3152173913043,1.02173913043478
"69","Assens",2019,146.631578947368,319.355263157895,1396072.36842105,4808.22368421053,0.263157894736842,2.51489365062332,12.3556037866353,42.9868421052632,6.53947368421053,28.8421052631579,0.828947368421053
"70","Assens",2020,157.755319148936,370.053191489362,1478326.36170213,3895.29787234043,0.287234042553192,2.03782993999854,10.7453557400158,39.7553191489362,7.87234042553191,19.968085106383,0.723404255319149
"71","Assens",2021,150.265625,323.8046875,1373688.078125,3376.875,0.2734375,1.8608508672016,11.8759250533422,46.3203125,8.4765625,25.0859375,0.78125
"72","Assens",2022,132.854545454545,285.690909090909,1281036.36363636,4698.25454545455,0.272727272727273,1.74965285457826,9.61624800217619,40.0363636363636,8.4,21.5454545454545,0.509090909090909
"73","Ballerup",2011,128.75,134.590909090909,2773977.27272727,876.613636363636,0.0227272727272727,0.659071915046165,2.25902610417586,29.25,8.20454545454546,17.5454545454545,0.863636363636364
"74","Ballerup",2012,123.385964912281,190.754385964912,2417157.89473684,626.105263157895,0,0.608727503791204,2.15319376826394,33.1578947368421,7.31578947368421,15.8947368421053,1.19298245614035
"75","Ballerup",2013,126.697674418605,249.081395348837,2348981.03488372,1312.70930232558,0.0930232558139535,0.677708996362301,2.27982496891232,39.3372093023256,7.19767441860465,16.8837209302326,1.3953488372093
"76","Ballerup",2014,125.955882352941,236.176470588235,2601397.05882353,934.911764705882,0.0294117647058824,0.660802868371721,2.15004443117747,38.0441176470588,8.41176470588235,21.0735294117647,1.22058823529412
"77","Ballerup",2015,125.236111111111,216.611111111111,2797850.51388889,753.541666666667,0.0138888888888889,0.647611000381215,2.06138751272706,43.1666666666667,10.4166666666667,19.6666666666667,1.08333333333333
"78","Ballerup",2016,128.093333333333,197.2,2936929.33333333,1523.34666666667,0.106666666666667,0.697209010910024,2.03685022277318,40.52,7.2,17.5466666666667,1.12
"79","Ballerup",2017,126.315789473684,178.705263157895,3168100,896.063157894737,0.0210526315789474,0.659538478419823,1.89230400534511,34.3684210526316,5.43157894736842,18.8526315789474,1.10526315789474
"80","Ballerup",2018,132.2125,164.4625,3320843.75,958.425,0.0125,0.690396616422834,1.97922636384498,38.25,6.825,23.45,1.125
"81","Ballerup",2019,133.783783783784,160.378378378378,3514603.91891892,1414.35135135135,0.0810810810810811,0.656806303094709,2.04659461973228,38.6351351351351,7.48648648648649,18.1756756756757,0.972972972972973
"82","Ballerup",2020,130.195652173913,125.369565217391,3635135.86956522,1643.4347826087,0.0869565217391304,0.675033626509256,2.09014065565339,40.4673913043478,7.77173913043478,18.2065217391304,0.402173913043478
"83","Ballerup",2021,125.401960784314,119.529411764706,4096196.07843137,1311.77450980392,0.0882352941176471,0.64485146262498,1.96784679075945,45.3137254901961,7.47058823529412,16.3725490196078,1
"84","Ballerup",2022,125.275862068966,131.620689655172,4300620.19103448,2329.58620689655,0.137931034482759,0.651731557371906,2.02634718248874,36.4827586206897,6.17241379310345,18.7241379310345,1.03448275862069
"85","Billund",2011,142.583333333333,68.75,1447133.33333333,1145.91666666667,0.0833333333333333,1.58006891673028,4.33690390911591,27.3333333333333,2.08333333333333,22.5833333333333,0.5
"86","Billund",2012,128.592592592593,211,1052407.40740741,1188.66666666667,0.0740740740740741,1.43161795785,5.25294754492907,36,3.40740740740741,28.1481481481481,0.851851851851852
"87","Billund",2013,134.257142857143,262.542857142857,1078814.28571429,1310.62857142857,0.2,1.58673675674965,4.94304425180637,37.6857142857143,4.8,48.4,1.14285714285714
"88","Billund",2014,136.21568627451,251.372549019608,1109902.94117647,2757.50980392157,0.137254901960784,1.58666542201866,4.83711664153158,40.1176470588235,3.3921568627451,26.1372549019608,1.11764705882353
"89","Billund",2015,144.492307692308,307.461538461538,1307607.69230769,3716.4,0.2,1.1842344481541,4.25929710508118,32.2,5.44615384615385,31.3692307692308,1.18461538461538
"90","Billund",2016,143.114285714286,245.5,1276309.35714286,3142.77142857143,0.185714285714286,1.33896326482014,5.44552055344319,35.9428571428571,5.65714285714286,33.3714285714286,0.9
"91","Billund",2017,148.792207792208,208.272727272727,1440732.46753247,1576.5974025974,0.142857142857143,1.33108255227038,3.84591036823868,33.3506493506493,4.28571428571429,35.2077922077922,1.11688311688312
"92","Billund",2018,133.428571428571,236.535714285714,1314924.4047619,1896.57142857143,0.130952380952381,1.20367537443005,5.15292118903877,36.6666666666667,4.57142857142857,27.6785714285714,1.01190476190476
"93","Billund",2019,133.028571428571,205.657142857143,1365176.45714286,1820.22857142857,0.152380952380952,1.32180851176753,6.6170360384127,34.4571428571429,4.24761904761905,26.0761904761905,0.819047619047619
"94","Billund",2020,134.153153153153,218.702702702703,1410420.84684685,3043.22522522523,0.171171171171171,1.66678139351318,5.52788275077149,35.4504504504505,5.15315315315315,26.1891891891892,0.198198198198198
"95","Billund",2021,137.243055555556,168.319444444444,1596893.50694444,4057.97222222222,0.138888888888889,1.76467787328195,5.58182047098702,37.0416666666667,5.23611111111111,26.1805555555556,0.0416666666666667
"96","Billund",2022,136.604938271605,167.827160493827,1489904.9382716,1921.55555555556,0.111111111111111,1.43338241118436,5.46935650836873,42.6296296296296,6.98765432098765,24.7407407407407,0.0493827160493827
"97","Bornholm",2011,144.275862068966,116.172413793103,948034.482758621,7041.48275862069,0.482758620689655,4.11601683826452,14.7303765604796,77.4137931034483,5.44827586206897,7.93103448275862,1.03448275862069
"98","Bornholm",2012,139.125,212.575,741950,7534.9,0.3,3.73739595746946,13.873462050892,60.925,4.025,14.775,1.025
"99","Bornholm",2013,132.33,209.92,755590,4964.69,0.25,3.70335387721649,17.6039780575192,63.73,4.33,15.19,1.03
"100","Bornholm",2014,125.851851851852,322.75,750105.217777778,2328.82407407407,0.25,3.53509942839517,17.2719513367502,64.962962962963,6.74074074074074,15.1296296296296,1.03703703703704
"101","Bornholm",2015,128.709677419355,301.975806451613,767211.693548387,2426.88709677419,0.266129032258065,3.6191656545123,15.6935425764031,57.6451612903226,7.34677419354839,13.2016129032258,1.04838709677419
"102","Bornholm",2016,117.589147286822,341.062015503876,882329.457364341,2127.06201550388,0.271317829457364,3.40607836867381,15.5243522328104,62.031007751938,6.67441860465116,12.7674418604651,1.03100775193798
"103","Bornholm",2017,122.057324840764,258.076433121019,985164.987261147,2802.08280254777,0.197452229299363,3.39054671711781,15.6451624483954,64.7579617834395,6.92356687898089,13.6624203821656,1.06369426751592
